poi_id_1,poi_id_2,poi_name_1,poi_name_2,distance
46,324,Banoon Day Care,Jones the grocer,
46,275,Banoon Day Care,Maui,
46,6,Banoon Day Care,Coffee SP OUT,
46,76,Banoon Day Care,Trieste,
46,105,Banoon Day Care,Jones the Grocer,
46,586,Banoon Day Care,12 Cups,
46,38,Banoon Day Care,Health Club,
46,533,Banoon Day Care,Four Spa,
46,326,Banoon Day Care,kHALIL,
46,318,Banoon Day Care,White pharmacy,
46,8,Banoon Day Care,Priory Healthcare,
46,554,Banoon Day Care,KAFD Grand Mosque,
46,35,Banoon Day Care,Prayer Hall,
46,45,Banoon Day Care,Reception SIDF&Tamken&Baby care,3.340815059543977
46,492,Banoon Day Care,Emirates NBD,
46,185,Banoon Day Care,Conference Centre,
46,162,Banoon Day Care,Alahli bank,
46,125,Banoon Day Care,National Development Fund,
46,524,Banoon Day Care,Parking pay machine-B4,
46,523,Banoon Day Care,Parking Pay Machine-B3,
46,155,Banoon Day Care,Area 1 Parking (Building 1.04,
46,145,Banoon Day Care,Alvarez & Marsal Middle East Limited,
46,204,Banoon Day Care,PARKING,
46,27,Banoon Day Care,Parking Machine,
46,521,Banoon Day Care,Parking Pay Machine-B1,
46,123,Banoon Day Care,National Debt Management Center,
46,440,Banoon Day Care,4.08-GF-Office reception,
46,182,Banoon Day Care,Riyad Bank,
46,146,Banoon Day Care,Ministry of Culture,
46,138,Banoon Day Care,king Abdullah financial center,
46,280,Banoon Day Care,Financial Plaza,
46,186,Banoon Day Care,AMC cinema,
46,184,Banoon Day Care,KAFD Helipad,
46,106,Banoon Day Care,sidf Academy,
46,606,Banoon Day Care,Waiting Lobby,
46,1,Banoon Day Care,Nouf Alsudairi abayas,
46,279,Banoon Day Care,Toby's Estate,
46,276,Banoon Day Care,Zaadna Line,
46,37,Banoon Day Care,Little Flora,
46,34,Banoon Day Care,Lagate,
46,156,Banoon Day Care,trading tower,
46,164,Banoon Day Care,Saudi Downtown Company,
46,7,Banoon Day Care,Ameenah Oud,
46,101,Banoon Day Care,Kunooz,
46,277,Banoon Day Care,Bloom,
46,598,Banoon Day Care,Bianca,
46,10,Banoon Day Care,Male WC-1st-5.07,
46,36,Banoon Day Care,Male Toilet-1st-3.05,
46,286,Banoon Day Care,Toilet,
46,328,Banoon Day Care,toilet Male & Female,
46,329,Banoon Day Care,toilet Male & Female,
46,28,Banoon Day Care,Male Toilet-entrance-building-5.08,
46,9,Banoon Day Care,Female WC-1st-5.07,
46,496,Banoon Day Care,KAFD Grand Mosque Female WC,
46,4,Banoon Day Care,5.07-GF Male WC,
46,495,Banoon Day Care,KAFD Grand Mosque Male WC,
46,596,Banoon Day Care,Male Toilet,
46,599,Banoon Day Care,Female Toilet,
46,600,Banoon Day Care,Male Toilet,
46,29,Banoon Day Care,Female Toilet-entrance-Building-5.08,
39,69,Banoon Day Care,Kids Home,273.8209150472993
39,46,Banoon Day Care,Banoon Day Care,
39,20,Banoon Day Care,Lasuhran Spa,240.4133371956863
39,119,Banoon Day Care,KAFD Metro Station,874.7132596921584
39,118,Banoon Day Care,Aramco,823.8446235424827
39,126,Banoon Day Care,king Abdullah financial center,806.8436494313564
39,131,Banoon Day Care,Muqarnas Tower Parcel 1.09,481.9324046597613
39,140,Banoon Day Care,The Steps,
39,281,Banoon Day Care,PIF,425.34677583617633
39,604,Banoon Day Care,TADAWUL TOWER,
39,168,Banoon Day Care,Roland Berger,316.732637498868
39,169,Banoon Day Care,Saudi Venture Capital Company,316.732637498868
39,170,Banoon Day Care,Real Estate Registry,316.732637498868
39,171,Banoon Day Care,Fund Of Funds,316.732637498868
39,191,Banoon Day Care,Hectare Company,
39,193,Banoon Day Care,Tools & Solutions,
39,172,Banoon Day Care,local content & government procurement,316.732637498868
39,175,Banoon Day Care,Events Investment Fund,316.732637498868
39,177,Banoon Day Care,Soudah Development Co,316.732637498868
39,43,Banoon Day Care,Construction Office,
39,197,Banoon Day Care,Alibaba Cloud,158.53844757767422
39,107,Banoon Day Care,Saudi Group for Research and Media,1199.81974868899
39,166,Banoon Day Care,Alvarez and Marsal,316.732637498868
39,167,Banoon Day Care,Alkhair Capital,316.732637498868
39,44,Banoon Day Care,Event Company,
39,174,Banoon Day Care,ROSHN,316.732637498868
39,540,Banoon Day Care,Saudi Industrial Development Fund,124.56884078652682
39,173,Banoon Day Care,Roche,316.732637498868
39,196,Banoon Day Care,Valuable Capital financial company,
39,190,Banoon Day Care,eWTP Arabia Capital,
39,194,Banoon Day Care,Bim Company,
39,195,Banoon Day Care,Advanced Communications &Electronic,
39,595,Banoon Day Care,AL JURAID,289.7577343178213
39,601,Banoon Day Care,BANK RIYAD,510.04424874946903
39,602,Banoon Day Care,SNB BANK,555.9874852734813
39,593,Banoon Day Care,Tamkeen Academy,
39,188,Banoon Day Care,Sports Boulevard,
39,189,Banoon Day Care,Tourism  Development Fund,
39,248,Banoon Day Care,5.09 (A.03),410.53637167477757
39,313,Banoon Day Care,Khalil 2.05,767.1694447259702
39,314,Banoon Day Care,Khalil2,753.7536328855592
39,187,Banoon Day Care,King Salman Park,
39,309,Banoon Day Care,2.09.B4,610.647217703109
39,310,Banoon Day Care,2.09.b4.1,620.6748592104146
39,307,Banoon Day Care,2.09.b3,643.5032515441187
39,308,Banoon Day Care,2.09.b3.1,645.7131247085285
39,305,Banoon Day Care,2.09.b2,625.1518789096672
39,303,Banoon Day Care,2.09.b1,625.9987338376692
39,304,Banoon Day Care,2.09.B1.1,630.3700144836887
39,539,Banoon Day Care,Tagpod,486.77322493253143
39,541,Banoon Day Care,1.10 Khalil,355.8679435015125
39,306,Banoon Day Care,2.09.b2.1,642.4980566589084
39,12,Banoon Day Care,SIWAR FOODS,307.10744080250004
39,141,Banoon Day Care,gharam restaurant,459.4059194249482
39,223,Banoon Day Care,CRÃˆME London,
39,73,Banoon Day Care,Monopoly,
39,77,Banoon Day Care,LE PERROQUET,86.5672465215448
39,93,Banoon Day Care,Sushi Samba,
39,581,Banoon Day Care,KUURU,208.08718018770136
39,71,Banoon Day Care,Black Tap,
39,207,Banoon Day Care,urth caffe,
39,582,Banoon Day Care,Good Food,99.45318037516954
39,136,Banoon Day Care,veloce,436.3397706560828
39,33,Banoon Day Care,Siwar Foods,187.61607893345098
39,63,Banoon Day Care,siwar foods,315.4556500482248
39,85,Banoon Day Care,Chalmont,
39,88,Banoon Day Care,EL Camino Taco Bar Restaurant,
39,89,Banoon Day Care,La Rustica Restaurant,
39,90,Banoon Day Care,Starbucks,173.1160949803075
39,91,Banoon Day Care,A.O.K Kitchen,
39,135,Banoon Day Care,SPOUT CAFFE,529.3761770984632
39,143,Banoon Day Care,CRÃˆME London,384.2199817593071
39,84,Banoon Day Care,Pistrina,
39,128,Banoon Day Care,Mr Chow,547.1842917337979
39,82,Banoon Day Care,Tale CafÃ©,
39,83,Banoon Day Care,Il Baretto,
39,163,Banoon Day Care,Dnkin,476.69875621077927
39,237,Banoon Day Care,Triasta cafe,60.78236837164878
39,273,Banoon Day Care,Il Baretto,326.99488225644114
39,489,Banoon Day Care,Draft CafÃ©,764.9295782611462
39,490,Banoon Day Care,Joe & The Juice,
39,491,Banoon Day Care,Pistrina Bakery,764.9295782611462
39,538,Banoon Day Care,Zuma,522.1634522130769
39,537,Banoon Day Care,lagate,264.53430924784254
39,324,Banoon Day Care,Jones the grocer,
39,275,Banoon Day Care,Maui,234.46067320157135
39,6,Banoon Day Care,Coffee SP OUT,387.44648097889797
39,76,Banoon Day Care,Trieste,
39,105,Banoon Day Care,Jones the Grocer,
39,586,Banoon Day Care,12 Cups,
39,38,Banoon Day Care,Health Club,0.0
39,533,Banoon Day Care,Four Spa,
39,326,Banoon Day Care,kHALIL,312.22122036750835
39,318,Banoon Day Care,White pharmacy,255.68941532223397
39,8,Banoon Day Care,Priory Healthcare,
39,554,Banoon Day Care,KAFD Grand Mosque,167.06614690154305
39,35,Banoon Day Care,Prayer Hall,27.086265086396008
39,45,Banoon Day Care,Reception SIDF&Tamken&Baby care,
39,492,Banoon Day Care,Emirates NBD,764.9295782611462
39,185,Banoon Day Care,Conference Centre,275.9749070009744
39,162,Banoon Day Care,Alahli bank,476.69875621077927
39,125,Banoon Day Care,National Development Fund,779.0496065450036
39,524,Banoon Day Care,Parking pay machine-B4,441.1625591123
39,523,Banoon Day Care,Parking Pay Machine-B3,388.2285617430633
39,155,Banoon Day Care,Area 1 Parking (Building 1.04,560.804784146482
39,145,Banoon Day Care,Alvarez & Marsal Middle East Limited,
39,204,Banoon Day Care,PARKING,158.53844757767422
39,27,Banoon Day Care,Parking Machine,250.28860956497527
39,521,Banoon Day Care,Parking Pay Machine-B1,361.56111271961794
39,123,Banoon Day Care,National Debt Management Center,815.3305023871828
39,440,Banoon Day Care,4.08-GF-Office reception,813.4346887553046
39,182,Banoon Day Care,Riyad Bank,213.15480187389247
39,146,Banoon Day Care,Ministry of Culture,475.37764290314163
39,138,Banoon Day Care,king Abdullah financial center,
39,280,Banoon Day Care,Financial Plaza,302.2756566824486
39,186,Banoon Day Care,AMC cinema,275.9749070009744
39,184,Banoon Day Care,KAFD Helipad,452.295995458485
39,106,Banoon Day Care,sidf Academy,
39,606,Banoon Day Care,Waiting Lobby,502.6053977237248
39,1,Banoon Day Care,Nouf Alsudairi abayas,284.8470366603952
39,279,Banoon Day Care,Toby's Estate,251.87349498644193
39,276,Banoon Day Care,Zaadna Line,242.71335503277786
39,37,Banoon Day Care,Little Flora,35.09437332912664
39,34,Banoon Day Care,Lagate,22.149994545744285
39,156,Banoon Day Care,trading tower,586.130351996353
39,164,Banoon Day Care,Saudi Downtown Company,
39,7,Banoon Day Care,Ameenah Oud,309.20122895802166
39,101,Banoon Day Care,Kunooz,42.70598624372355
39,277,Banoon Day Care,Bloom,
39,598,Banoon Day Care,Bianca,
39,10,Banoon Day Care,Male WC-1st-5.07,271.80827525100705
39,36,Banoon Day Care,Male Toilet-1st-3.05,27.086265086396008
